,A,Ar_Articulare,B,Cm_columela,D,Gn_Gnathion,Go_Gonion,Is_gornja_vilica,Li_labrale_inferius,Ls_Labrale_superius,Me_Menton,N_Nasion,N_nasion_meka_tkiva,Pg_Pogonion,Pg_pogonion_meka_tkiva,Prn_pronasale,S_Sella,Se_Sella_entrance,Sn_subnasale,Sna_Spina_nasalis_anterior,Snp_Spina_nasalis_poserior,is_donja_vilica
x,713.3395,330.84143,694.4369,831.57404,649.4723,669.27795,351.68658,736.05914,799.4875,811.56274,644.16455,745.4804,767.5346,681.9947,731.23737,877.04004,424.825,432.75824,783.93164,497.07092,713.48584,736.46375
y,679.6355,549.66327,842.4444,653.2668,893.57117,930.44916,757.39417,768.4802,824.75244,733.5299,937.7678,418.72278,446.36453,911.2694,938.65344,616.04407,420.77206,415.39618,670.81134,615.0872,639.48425,772.2211
