,A,Ar_Articulare,B,Cm_columela,D,Gn_Gnathion,Go_Gonion,Is_gornja_vilica,Li_labrale_inferius,Ls_Labrale_superius,Me_Menton,N_Nasion,N_nasion_meka_tkiva,Pg_Pogonion,Pg_pogonion_meka_tkiva,Prn_pronasale,S_Sella,Se_Sella_entrance,Sn_subnasale,Sna_Spina_nasalis_anterior,Snp_Spina_nasalis_poserior,is_donja_vilica
x,718.11896,346.50473,692.9371,813.2676,653.8896,672.4689,370.7106,741.3083,786.1943,803.7374,653.49646,732.5985,753.1627,682.1035,728.5969,847.4301,428.21124,439.99054,775.40295,489.68085,736.7482,733.8953
y,651.8083,556.8288,777.22595,626.4643,815.01514,845.7127,725.4153,724.6563,769.71,690.98157,854.35077,429.2503,454.19266,830.11835,852.5056,596.1459,444.328,446.62192,642.7116,610.6392,613.4772,727.28754
