,A,Ar_Articulare,B,Cm_columela,D,Gn_Gnathion,Go_Gonion,Is_gornja_vilica,Li_labrale_inferius,Ls_Labrale_superius,Me_Menton,N_Nasion,N_nasion_meka_tkiva,Pg_Pogonion,Pg_pogonion_meka_tkiva,Prn_pronasale,S_Sella,Se_Sella_entrance,Sn_subnasale,Sna_Spina_nasalis_anterior,Snp_Spina_nasalis_poserior,is_donja_vilica
x,716.60693,323.34262,686.4462,796.5316,652.9358,675.5709,363.96005,747.1939,782.6693,799.8797,655.59125,668.276,694.05,683.3993,723.88635,817.14685,368.98694,384.38596,764.60284,505.35446,699.8259,732.2698
y,590.6372,553.2092,737.7724,554.1054,787.87976,819.2506,716.7341,673.24066,717.68445,627.38226,827.0492,340.67215,363.75677,800.39923,809.804,526.74005,414.13004,406.6962,570.9999,561.68304,563.9605,671.71533
