,A,Ar_Articulare,B,Cm_columela,D,Gn_Gnathion,Go_Gonion,Is_gornja_vilica,Li_labrale_inferius,Ls_Labrale_superius,Me_Menton,N_Nasion,N_nasion_meka_tkiva,Pg_Pogonion,Pg_pogonion_meka_tkiva,Prn_pronasale,S_Sella,Se_Sella_entrance,Sn_subnasale,Sna_Spina_nasalis_anterior,Snp_Spina_nasalis_poserior,is_donja_vilica
x,710.2111,347.23395,705.71185,806.1991,673.0032,695.9114,383.29694,733.76556,789.93225,794.482,676.6721,718.3014,737.69495,703.73975,747.4627,840.37494,420.58234,429.26154,765.61554,496.04303,722.0626,738.00696
y,646.3392,556.4376,786.80145,620.5885,830.43976,861.8686,739.21826,722.7041,763.7413,686.48755,873.30286,410.3277,434.63556,842.9741,863.5967,590.1297,435.65683,431.32285,636.167,600.45544,616.61,727.5314
